policy,env,block,grade_true,volume_allocated
eig,0,0,0.7229733006236139,25.0
eig,0,1,0.07863729638550693,9.0
eig,0,2,1.9752137622100945,31.0
eig,0,3,0.1337629825382978,16.0
eig,0,4,0.03220558901383833,6.0
eig,0,5,0.16751606561218754,23.0
eig,0,6,0.017263973459326534,2.0
eig,0,7,0.3544474935558451,28.0
eig,0,8,1.0301808666299073,28.0
eig,0,9,2.236929144052396,31.0
eig,0,10,0.3218129271352258,15.0
eig,0,11,0.7474163509131219,26.0
epig,0,0,0.7229733006236139,18.0
epig,0,1,0.07863729638550693,9.0
epig,0,2,1.9752137622100945,31.0
epig,0,3,0.1337629825382978,16.0
epig,0,4,0.03220558901383833,6.0
epig,0,5,0.16751606561218754,24.0
epig,0,6,0.017263973459326534,6.0
epig,0,7,0.3544474935558451,27.0
epig,0,8,1.0301808666299073,28.0
epig,0,9,2.236929144052396,32.0
epig,0,10,0.3218129271352258,15.0
epig,0,11,0.7474163509131219,28.0
maxent,0,0,0.7229733006236139,0.0
maxent,0,1,0.07863729638550693,0.0
maxent,0,2,1.9752137622100945,1.0
maxent,0,3,0.1337629825382978,0.0
maxent,0,4,0.03220558901383833,0.0
maxent,0,5,0.16751606561218754,0.0
maxent,0,6,0.017263973459326534,0.0
maxent,0,7,0.3544474935558451,0.0
maxent,0,8,1.0301808666299073,0.0
maxent,0,9,2.236929144052396,239.0
maxent,0,10,0.3218129271352258,0.0
maxent,0,11,0.7474163509131219,0.0
d-optimality,0,0,0.7229733006236139,24.0
d-optimality,0,1,0.07863729638550693,12.0
d-optimality,0,2,1.9752137622100945,28.0
d-optimality,0,3,0.1337629825382978,16.0
d-optimality,0,4,0.03220558901383833,10.0
d-optimality,0,5,0.16751606561218754,23.0
d-optimality,0,6,0.017263973459326534,7.0
d-optimality,0,7,0.3544474935558451,26.0
d-optimality,0,8,1.0301808666299073,27.0
d-optimality,0,9,2.236929144052396,28.0
d-optimality,0,10,0.3218129271352258,15.0
d-optimality,0,11,0.7474163509131219,24.0
neyman,0,0,0.7229733006236139,13.0
neyman,0,1,0.07863729638550693,6.0
neyman,0,2,1.9752137622100945,48.0
neyman,0,3,0.1337629825382978,14.0
neyman,0,4,0.03220558901383833,5.0
neyman,0,5,0.16751606561218754,18.0
neyman,0,6,0.017263973459326534,7.0
neyman,0,7,0.3544474935558451,19.0
neyman,0,8,1.0301808666299073,28.0
neyman,0,9,2.236929144052396,40.0
neyman,0,10,0.3218129271352258,14.0
neyman,0,11,0.7474163509131219,28.0
predictive-variance,0,0,0.7229733006236139,40.0
predictive-variance,0,1,0.07863729638550693,0.0
predictive-variance,0,2,1.9752137622100945,40.0
predictive-variance,0,3,0.1337629825382978,40.0
predictive-variance,0,4,0.03220558901383833,0.0
predictive-variance,0,5,0.16751606561218754,40.0
predictive-variance,0,6,0.017263973459326534,0.0
predictive-variance,0,7,0.3544474935558451,0.0
predictive-variance,0,8,1.0301808666299073,40.0
predictive-variance,0,9,2.236929144052396,40.0
predictive-variance,0,10,0.3218129271352258,0.0
predictive-variance,0,11,0.7474163509131219,0.0
epistemic,0,0,0.7229733006236139,40.0
epistemic,0,1,0.07863729638550693,0.0
epistemic,0,2,1.9752137622100945,40.0
epistemic,0,3,0.1337629825382978,40.0
epistemic,0,4,0.03220558901383833,0.0
epistemic,0,5,0.16751606561218754,40.0
epistemic,0,6,0.017263973459326534,0.0
epistemic,0,7,0.3544474935558451,0.0
epistemic,0,8,1.0301808666299073,40.0
epistemic,0,9,2.236929144052396,40.0
epistemic,0,10,0.3218129271352258,0.0
epistemic,0,11,0.7474163509131219,0.0
thompson,0,0,0.7229733006236139,40.0
thompson,0,1,0.07863729638550693,0.0
thompson,0,2,1.9752137622100945,120.0
thompson,0,3,0.1337629825382978,0.0
