model,block,volume,exposure,eig_exact,eig_corrected,sem,z
gig-poisson,0,1.0,0.8997062028561171,0.2713816550742525,0.27495547284279537,0.0036211105811259827,-0.9869396939078282
gig-poisson,0,40.0,35.98824811424468,1.5060924084618699,1.5058821273982643,0.011847650235670045,0.0177487568777516
gig-poisson,6,1.0,0.7589092042976693,0.021157410017889094,0.021153058940747566,0.0018658535895427562,0.0023319499267867023
gig-poisson,6,40.0,30.356368171906773,0.4567076993985908,0.4628920075937222,0.007711627490312809,-0.8019459190553467
gamma-poisson,0,1.0,0.8997062028561171,0.3451735713877132,0.3404572934163159,0.003324283444777436,1.418735210081656
gamma-poisson,0,40.0,35.98824811424468,1.7543130527071915,1.7540933991890817,0.007192604259339813,0.030538802106982663
gamma-poisson,6,1.0,0.7589092042976693,0.024554853873502817,0.02482556439596451,0.0017402998186191673,-0.15555395660299864
gamma-poisson,6,40.0,30.356368171906773,0.5424837263934527,0.552368207527932,0.005377088354372573,-1.8382590136242507
lognormal-poisson,0,1.0,0.8997062028561171,0.252822710536597,0.2540216763618021,0.005747272202546905,-0.20861476243874455
lognormal-poisson,0,40.0,35.98824811424468,1.5083125795488441,1.517820019555515,0.010799568011484807,-0.8803537323493047
lognormal-poisson,6,1.0,0.7589092042976693,0.020418910133583823,0.02205048691815666,0.0025413528581387543,-0.6420111159879534
lognormal-poisson,6,40.0,30.356368171906773,0.444709795771969,0.45156899382057497,0.003751339368004657,-1.8284664157842858
