policy,env,spent,rounds,decide_seconds,nlpd,grade_rmse,topm_regret
eig,0,30.0,30,0.437490009033354,1.625753620786683,0.3096672469909612,0.09681560022882939
eig,0,60.0,60,0.6911682130594272,1.5882620012580804,0.2755499143817299,0.09681560022882939
eig,0,120.0,120,1.1877123831072822,1.6506211735906575,0.31726803246598684,0.09681560022882939
eig,0,180.0,180,1.703330486343475,1.6271569866084288,0.27269870544476055,0.0656069961692441
eig,0,240.0,240,2.2257931644271594,1.4507416043487436,0.17117051072164408,0.0
epig,0,30.0,30,3.1233873399323784,1.6396389194727348,0.35754720246459826,0.09681560022882939
epig,0,60.0,60,5.4872391008539125,1.5908874357688314,0.25646136483177595,0.09681560022882939
epig,0,120.0,120,9.678873086842941,1.6163699392987858,0.3043998882711588,0.09681560022882939
epig,0,180.0,180,13.80684945982648,1.5144871138827265,0.24008270724238012,0.0
epig,0,240.0,236,17.517740184848662,1.501169959942131,0.19410836937801182,0.0
maxent,0,30.0,30,0.2636897180345841,1.7397534874696616,0.5319473780088253,0.24647449453192302
maxent,0,60.0,60,0.51563195703784,1.7386070869791395,0.5244862481262609,0.24647449453192302
maxent,0,120.0,120,0.9534128030936699,1.739602771054295,0.5242831869128577,0.24647449453192302
maxent,0,180.0,180,1.3893228472734336,1.7440722543055702,0.5256911737312288,0.24647449453192302
maxent,0,240.0,240,1.8284729202568997,1.7404046222515124,0.5243342027803811,0.24647449453192302
d-optimality,0,30.0,30,0.020192426891298965,1.6542110536928163,0.37340108347830264,0.09681560022882939
d-optimality,0,60.0,60,0.03347991086775437,1.6056178821842664,0.24779256071106498,0.09681560022882939
d-optimality,0,120.0,120,0.05958815079065971,1.625349404246398,0.3090509940851637,0.09681560022882939
d-optimality,0,180.0,180,0.0857281428470742,1.5262847381015128,0.24060841088586551,0.0
d-optimality,0,240.0,240,0.11192357892286964,1.4520632625359695,0.18450501725692967,0.0
neyman,0,30.0,30,0.030309338006190956,1.6442848230480156,0.33730087635691286,0.09681560022882939
neyman,0,60.0,60,0.058209801907651126,1.6126813079279334,0.2833297826542041,0.09681560022882939
neyman,0,120.0,120,0.11155911686364561,1.598919419410338,0.28404653363921817,0.09681560022882939
neyman,0,180.0,180,0.16573337590671144,1.6262259511557542,0.27095518684820236,0.0656069961692441
neyman,0,240.0,240,0.23312825983157381,1.517268216181108,0.21528823767936092,0.0
predictive-variance,0,30.0,1,0.006456422997871414,1.7046767380198364,0.3887239575531676,0.24647449453192302
predictive-variance,0,60.0,2,0.0074170590087305754,1.6403853582970853,0.3940989063024489,0.24647449453192302
predictive-variance,0,120.0,3,0.00829254201380536,1.5821509337172792,0.29132291681432254,0.10245075006441946
predictive-variance,0,180.0,5,0.009128590987529606,1.4941038030895075,0.21356373597258999,0.004080819832627177
predictive-variance,0,240.0,6,0.009555497992550954,1.4948073732402039,0.2187681909933324,0.07105540724319326
epistemic,0,30.0,1,0.00659984300727956,1.7046767380198364,0.3887239575531676,0.24647449453192302
epistemic,0,60.0,2,0.007466370007023215,1.6403853582970853,0.3940989063024489,0.24647449453192302
epistemic,0,120.0,3,0.008367778005776927,1.5821509337172792,0.29132291681432254,0.10245075006441946
epistemic,0,180.0,5,0.009216136968461797,1.4941038030895075,0.21356373597258999,0.004080819832627177
epistemic,0,240.0,6,0.009643287979997694,1.4948073732402039,0.2187681909933324,0.07105540724319326
thompson,0,30.0,1,0.003720141015946865,1.7838491949598057,0.40013093662520166,0.24647449453192302
thompson,0,60.0,2,0.007215392019134015,1.7053803081705325,0.39160741469451504,0.24647449453192302
thompson,0,120.0,3,0.010932240023976192,1.7047549621798848,0.3944040092952721,0.24647449453192302
thompson,0,180.0,5,0.018506472028093413,1.6409254443525938,0.4006445092703144,0.24647449453192302
thompson,0,240.0,6,0.029062117042485625,1.6345720562194492,0.39031384422409404,0.24647449453192302
uniform,0,30.0,3,9.723007678985596e-06,1.7789787937790889,0.41327154019285545,0.24647449453192302
uniform,0,60.0,6,1.2719974620267749e-05,1.726529603942511,0.2767653506019424,0.09681560022882939
uniform,0,120.0,12,1.8202001228928566e-05,1.6487605103789444,0.26472758962844073,0.09681560022882939
uniform,0,180.0,18,2.1624000510200858e-05,1.5981719977904376,0.283320735504079,0.09681560022882939
uniform,0,240.0,24,2.5138026103377342e-05,1.4781139100072764,0.2401881412807201,0.0
random,0,30.0,4,3.35050281137228e-05,1.7600976620570057,0.4994181638135648,0.09681560022882939
random,0,60.0,5,4.285402246750891e-05,1.7018632374771994,0.4230527109703127,0.004080819832627177
random,0,120.0,9,6.390700582414865e-05,1.6314848385295535,0.2756679403757426,0.004080819832627177
random,0,180.0,12,8.164701284840703e-05,1.5909425569658693,0.2805558019565468,0.07105540724319326
random,0,240.0,16,0.00011024597915820777,1.5712357352370054,0.266475232417035,0.07105540724319326
eig@gamma-poisson,0,30.0,30,0.0325131940189749,1.596228733853084,0.3385530540728842,0.09681560022882939
eig@gamma-poisson,0,60.0,60,0.05426787899341434,1.5577794213949925,0.245654986220046,0.09681560022882939
eig@gamma-poisson,0,120.0,120,0.09766700089676306,1.5984291938096995,0.29158994895265516,0.0656069961692441
eig@gamma-poisson,0,180.0,180,0.14003217389108613,1.582112636129307,0.2939743896453679,0.0656069961692441
eig@gamma-poisson,0,240.0,240,0.18225515089579858,1.4439430462042797,0.19523736485269927,0.0
maxent@gamma-poisson,0,30.0,30,0.02795629494357854,1.6852598561687369,0.3924474543792523,0.24647449453192302
maxent@gamma-poisson,0,60.0,60,0.04683344284421764,1.686068098358984,0.3884541848849083,0.24647449453192302
maxent@gamma-poisson,0,120.0,120,0.08709181580343284,1.6874929142498607,0.38836348268091475,0.24647449453192302
maxent@gamma-poisson,0,180.0,180,0.12368218475603499,1.6914555998834835,0.39030470942181633,0.24647449453192302
maxent@gamma-poisson,0,240.0,240,0.16058932672603987,1.6877281650323182,0.3883931599649851,0.24647449453192302
d-optimality@gamma-poisson,0,30.0,30,0.0004450200358405709,1.596283420887552,0.336919467948871,0.09681560022882939
d-optimality@gamma-poisson,0,60.0,60,0.0007940569194033742,1.5789406655132865,0.2543987216974929,0.09681560022882939
d-optimality@gamma-poisson,0,120.0,120,0.0014976811071392149,1.5981999097200987,0.28674078494586347,0.09681560022882939
d-optimality@gamma-poisson,0,180.0,180,0.002206540259066969,1.5871082293285912,0.31034450512534606,0.0656069961692441
d-optimality@gamma-poisson,0,240.0,240,0.0029062423564027995,1.4552806177770112,0.2145282680502479,0.0
neyman@gamma-poisson,0,30.0,30,0.0005342149815987796,1.6274965850981318,0.3261990967847591,0.09681560022882939
neyman@gamma-poisson,0,60.0,60,0.001051725063007325,1.5922389952498737,0.2623025812956682,0.09681560022882939
neyman@gamma-poisson,0,120.0,120,0.0020674110564868897,1.5854805167830788,0.2826615715019705,0.09681560022882939
neyman@gamma-poisson,0,180.0,180,0.0030809339077677578,1.6056407755474653,0.2736255461459247,0.0656069961692441
neyman@gamma-poisson,0,240.0,240,0.004109250818146393,1.5066109212399192,0.21143256470016386,0.0
predictive-variance@gamma-poisson,0,30.0,1,9.70739929471165e-05,1.6858844512141309,0.3885497403818069,0.24647449453192302
predictive-variance@gamma-poisson,0,60.0,2,0.00011565399472601712,1.6079527505336666,0.3953261295815698,0.24647449453192302
predictive-variance@gamma-poisson,0,120.0,3,0.00013394499546848238,1.5666537147846407,0.2931198304413695,0.10245075006441946
predictive-variance@gamma-poisson,0,180.0,5,0.00016512599540874362,1.4874165418189584,0.2156711023679398,0.004080819832627177
predictive-variance@gamma-poisson,0,240.0,6,0.00018147699302062392,1.4859181954448653,0.21937755631746647,0.07105540724319326
epistemic@gamma-poisson,0,30.0,1,7.805199129506946e-05,1.6858844512141309,0.3885497403818069,0.24647449453192302
epistemic@gamma-poisson,0,60.0,2,9.544799104332924e-05,1.6079527505336666,0.3953261295815698,0.24647449453192302
epistemic@gamma-poisson,0,120.0,3,0.0001129389856941998,1.5666537147846407,0.2931198304413695,0.10245075006441946
epistemic@gamma-poisson,0,180.0,5,0.00014206295600160956,1.4874165418189584,0.2156711023679398,0.004080819832627177
epistemic@gamma-poisson,0,240.0,6,0.00015724895638413727,1.4859181954448653,0.21937755631746647,0.07105540724319326
thompson@gamma-poisson,0,30.0,1,3.987498348578811e-05,1.7226502907831758,0.3523134574746109,0.09681560022882939
thompson@gamma-poisson,0,60.0,2,6.689998554065824e-05,1.7020858153811895,0.3441649368765814,0.09681560022882939
thompson@gamma-poisson,0,120.0,3,9.620899800211191e-05,1.6607867796321634,0.21928517971649233,0.004080819832627177
thompson@gamma-poisson,0,180.0,5,0.00014305097283795476,1.5644959554648246,0.2081452343408465,0.004080819832627177
thompson@gamma-poisson,0,240.0,6,0.00016778198187239468,1.566956705535153,0.2026264305235312,0.004080819832627177
epig@gamma-poisson,0,30.0,30,0.3577238909783773,1.583768953025088,0.3080787898916732,0.09681560022882939
epig@gamma-poisson,0,60.0,60,0.6117549739719834,1.5684244099440796,0.24922101972868468,0.09681560022882939
epig@gamma-poisson,0,120.0,120,1.1885440528567415,1.6215812489568249,0.32109327980008145,0.0656069961692441
epig@gamma-poisson,0,180.0,180,1.6982216118194629,1.5330985291488772,0.27522348132824404,0.0656069961692441
epig@gamma-poisson,0,240.0,240,2.2136431548860855,1.4431971371746668,0.18721358877023817,0.0
eig@lognormal-poisson,0,30.0,30,2.694416146900039,1.6323233495503187,0.31211831517689315,0.09681560022882939
eig@lognormal-poisson,0,60.0,60,3.097258662979584,1.598280427490538,0.2707346693701848,0.09681560022882939
eig@lognormal-poisson,0,120.0,120,3.7872966359427664,1.646303398579702,0.3227135823826068,0.09681560022882939
eig@lognormal-poisson,0,180.0,180,4.458151306811487,1.6096358917151736,0.2711050020240149,0.0656069961692441
eig@lognormal-poisson,0,240.0,240,5.131276475789491,1.4463993987534742,0.16125803747009898,0.0
maxent@lognormal-poisson,0,30.0,30,2.6200979849672876,1.736495573222397,0.5206596310728242,0.24647449453192302
maxent@lognormal-poisson,0,60.0,60,2.7942510069406126,1.7353488868133295,0.5130579255470181,0.24647449453192302
maxent@lognormal-poisson,0,120.0,120,3.143351276841713,1.73649937361842,0.5128434331095102,0.24647449453192302
maxent@lognormal-poisson,0,180.0,180,3.497925241768826,1.739492771520271,0.5136504999033891,0.24647449453192302
