round,y,order,argument,log_besselk,unlogged_kv,unlogged_finite,seconds
1,107,106.5,21.297371827504108,135.5615783956992,7.475589671946081e+58,True,0.00012469402281567454
2,101,207.5,30.10214763120174,333.3785289720486,6.0877318924941284e+144,True,0.0001653609797358513
3,133,340.5,36.86055530322845,648.8528938294855,6.211998713322917e+281,True,0.00014365199604071677
4,125,465.5,42.558921303459535,966.9202233374676,inf,False,7.4993004091084e-05
5,131,596.5,47.579649302677296,1321.3971602330143,inf,False,6.043398752808571e-05
6,109,705.5,52.118943514018575,1617.5928939290434,inf,False,5.9909012634307146e-05
7,126,831.5,56.293387873436416,1979.7047569154051,inf,False,5.870498716831207e-05
8,121,952.5,60.178956151804904,2334.151403993228,inf,False,5.8726989664137363e-05
9,127,1079.5,63.828426337898655,2717.427099811118,inf,False,7.632799679413438e-05
10,114,1193.5,67.28022929527108,3061.7483598919434,inf,False,5.891398177482188e-05
11,139,1332.5,70.56337930737128,3502.098396738867,inf,False,6.394999218173325e-05
12,139,1471.5,73.70041888977059,3949.835540356026,inf,False,6.036600098013878e-05
13,132,1603.5,76.70927577405064,4378.0935852034245,inf,False,0.00011917800293304026
14,131,1734.5,79.60448627452507,4808.042007208309,inf,False,5.918400711379945e-05
15,121,1855.5,82.39803080342848,5204.855042095919,inf,False,5.951698403805494e-05
16,108,1963.5,85.09992200662965,5555.761252151467,inf,False,5.864800186827779e-05
17,128,2091.5,87.71862955373932,5986.897820614757,inf,False,0.00010537198977544904
18,116,2207.5,90.26139382946536,6375.245740084753,inf,False,0.00012006200267933309
19,119,2326.5,92.73446210168875,6778.399690405124,inf,False,6.327001028694212e-05
20,131,2457.5,95.14326937067722,7231.911054948543,inf,False,0.00011414298205636442
21,101,2558.5,97.49257895754397,7569.933680895477,inf,False,5.867300205864012e-05
22,134,2692.5,99.78659327306772,8041.454066348193,inf,False,5.793798482045531e-05
23,127,2819.5,102.02904215122449,8488.241113480757,inf,False,5.874200724065304e-05
24,128,2947.5,104.22325406332332,8941.929048713222,inf,False,5.8820005506277084e-05
25,116,3063.5,106.37221410123858,9349.735243893132,inf,False,0.00012220698408782482
26,125,3188.5,108.478611615615,9796.399564537032,inf,False,5.879998207092285e-05
27,110,3298.5,110.54487967926484,10184.146116084448,inf,False,0.00012490898370742798
28,112,3410.5,112.5732280276036,10581.958368975473,inf,False,7.994301267899573e-05
29,119,3529.5,114.56567074742127,11010.465055375773,inf,False,9.312201291322708e-05
30,122,3651.5,116.52404970244656,11453.392811197225,inf,False,7.258300320245326e-05
31,114,3765.5,118.45005447153639,11865.131837909577,inf,False,5.887000588700175e-05
32,120,3885.5,120.34523941378669,12303.607531524358,inf,False,5.846601561643183e-05
33,129,4014.5,122.21103835093348,12781.59378338051,inf,False,0.00010274600936099887
34,136,4150.5,124.04877726146691,13291.079168555903,inf,False,9.485200280323625e-05
35,139,4289.5,125.85968530596574,13815.481825780624,inf,False,5.867300205864012e-05
36,128,4417.5,127.64490444419795,14295.54467627344,inf,False,0.00013617501826956868
37,155,4572.5,129.40549785778086,14892.354686193637,inf,False,5.948200123384595e-05
38,124,4696.5,131.14245735486207,15359.38124390134,inf,False,5.832902388647199e-05
39,137,4833.5,132.85670990327705,15883.76256367735,inf,False,5.8272999012842774e-05
40,112,4945.5,134.54912341436943,16302.602201632932,inf,False,5.792800220660865e-05
