env,source,flux_true
0,0,24.0244
0,1,3.12204
0,2,17.2236
0,3,1.2693200000000002
0,4,6.87258
0,5,31.879
0,6,30.619500000000002
0,7,10.731900000000001
0,8,1.65587
0,9,3.32141
0,10,4.1920399999999995
0,11,1.16333
0,12,1.52467
0,13,2.15881
0,14,5.45463
0,15,4.38114
0,16,1.44986
0,17,1.81945
0,18,15.3468
0,19,3.14188
0,20,28.5706
0,21,3.60401
0,22,3.39364
0,23,1.33143
0,24,1.5639500000000002
0,25,5.339799999999999
0,26,6.225099999999999
0,27,1.6318
0,28,4.40425
0,29,2.18386
0,30,26.5834
0,31,2.79027
0,32,1.65696
0,33,2.95279
0,34,2.9660699999999998
0,35,11.677
0,36,12.8104
0,37,2.05518
0,38,1.9180400000000002
0,39,10.5449
0,40,8.630279999999999
0,41,6.4809
0,42,10.3273
0,43,1.31786
0,44,2.96704
0,45,19.5623
0,46,2.13791
0,47,20.8898
1,0,28.5706
1,1,1.5359900000000002
1,2,3.40753
1,3,4.30819
1,4,44.307100000000005
1,5,5.339799999999999
1,6,22.3683
1,7,7.147
1,8,1.37528
1,9,14.8422
1,10,10.6847
1,11,3.65477
1,12,5.16789
1,13,1.7768700000000002
1,14,12.0998
1,15,15.6086
1,16,1.5671899999999999
1,17,1.53788
1,18,3.00805
1,19,5.931369999999999
1,20,11.165899999999999
1,21,17.052
1,22,11.5075
1,23,3.1340500000000002
1,24,2.26457
1,25,4.38114
1,26,1.14199
1,27,25.5427
1,28,28.836699999999997
1,29,31.8852
1,30,7.48797
1,31,2.59399
1,32,7.34185
1,33,2.8333999999999997
1,34,9.15437
1,35,3.58615
1,36,9.168339999999999
1,37,1.2640799999999999
1,38,2.52084
1,39,7.75063
1,40,10.2089
1,41,1.7323199999999999
1,42,1.69916
1,43,2.62308
1,44,2.35986
1,45,40.3706
1,46,2.8673200000000003
1,47,6.76722
2,0,38.1584
2,1,17.775299999999998
2,2,2.52824
2,3,5.53139
2,4,1.33216
2,5,39.785
2,6,1.5359900000000002
2,7,9.04223
2,8,1.2452400000000001
2,9,3.23552
2,10,21.0791
2,11,3.55778
2,12,1.21212
2,13,2.60703
2,14,8.27191
2,15,26.5834
2,16,2.51335
2,17,13.5034
2,18,6.8005
2,19,1.69232
2,20,31.879
2,21,1.59833
2,22,6.9883299999999995
2,23,2.60783
2,24,14.3476
2,25,31.8094
2,26,4.20443
2,27,18.2652
2,28,1.86943
2,29,6.322
2,30,10.2089
2,31,2.59358
2,32,3.13044
2,33,3.27461
2,34,2.59743
2,35,21.274900000000002
2,36,19.0427
2,37,2.5233999999999996
2,38,4.964440000000001
2,39,9.609280000000002
2,40,28.0429
2,41,1.9440899999999999
2,42,5.3106100000000005
2,43,2.10458
2,44,3.08098
2,45,23.2348
2,46,5.778650000000001
2,47,1.25891
3,0,4.1920399999999995
3,1,1.12449
3,2,10.0077
3,3,1.14307
3,4,6.322
3,5,26.227
3,6,14.1859
3,7,2.26301
3,8,2.81878
3,9,1.65536
3,10,8.630279999999999
3,11,6.1742799999999995
3,12,2.6917299999999997
3,13,1.76935
3,14,6.2328
3,15,38.1584
3,16,1.69574
3,17,17.0696
3,18,2.14836
3,19,12.1948
3,20,3.58615
3,21,2.94735
3,22,14.383799999999999
3,23,2.65617
3,24,2.5983899999999998
3,25,5.5980099999999995
3,26,7.01525
3,27,13.2624
3,28,2.70677
3,29,21.5659
3,30,25.5094
3,31,4.2001
3,32,2.61236
3,33,1.40342
3,34,1.93135
3,35,17.5015
3,36,12.1374
3,37,7.95621
3,38,41.992399999999996
3,39,1.6904
3,40,23.2348
3,41,30.748299999999997
3,42,1.32263
3,43,1.98969
3,44,7.09958
3,45,3.3493999999999997
3,46,2.4008000000000003
3,47,5.908810000000001
4,0,32.5005
4,1,4.57926
4,2,2.90116
4,3,1.72952
4,4,4.387630000000001
4,5,4.29353
4,6,41.889199999999995
4,7,6.530760000000001
4,8,6.16526
4,9,27.7057
4,10,3.58615
4,11,3.2040200000000003
4,12,1.20411
4,13,7.4499699999999995
4,14,6.55583
4,15,14.5968
4,16,2.28363
4,17,2.44995
4,18,1.47954
4,19,1.81163
4,20,19.975
4,21,10.7872
4,22,3.16515
4,23,1.9367599999999998
4,24,45.6562
4,25,3.91007
4,26,8.95405
4,27,19.334200000000003
4,28,2.07369
4,29,5.79462
4,30,9.71441
4,31,6.170850000000001
4,32,2.13693
4,33,4.51919
4,34,2.7848
4,35,4.38114
4,36,1.89197
4,37,9.26093
4,38,13.2166
4,39,3.43019
4,40,12.7797
4,41,19.0427
4,42,7.85139
4,43,1.65587
4,44,35.1222
4,45,25.6884
4,46,2.7273
4,47,5.92539
5,0,10.6847
5,1,2.14392
5,2,30.8604
5,3,1.37534
5,4,2.0430099999999998
5,5,4.1920399999999995
5,6,1.3583900000000002
5,7,10.8552
5,8,2.19089
5,9,4.19061
5,10,11.4522
5,11,6.4809
5,12,5.3922799999999995
5,13,4.345870000000001
5,14,1.85391
5,15,26.227
5,16,6.7463999999999995
5,17,2.38376
5,18,2.92064
5,19,7.28596
5,20,24.9058
5,21,2.36286
5,22,2.05009
5,23,2.22616
5,24,29.241100000000003
5,25,40.917300000000004
5,26,3.3101
5,27,1.55376
5,28,32.4027
5,29,1.34677
5,30,40.3706
5,31,3.3101
5,32,1.30062
5,33,2.36196
5,34,8.116389999999999
5,35,7.10019
5,36,44.8518
5,37,2.32211
5,38,1.2693200000000002
5,39,11.1961
5,40,32.9417
5,41,14.964699999999999
5,42,3.95732
5,43,1.2022700000000002
5,44,10.0625
5,45,3.94342
5,46,1.73726
5,47,11.0428
6,0,9.62052
6,1,12.5731
6,2,2.05009
6,3,1.50935
6,4,23.8421
6,5,4.1920399999999995
6,6,4.09145
6,7,10.5161
6,8,1.88812
6,9,18.453599999999998
6,10,4.45998
6,11,9.168339999999999
6,12,2.4007300000000003
6,13,1.7639799999999999
6,14,5.664409999999999
6,15,28.0429
6,16,1.50119
6,17,1.9059300000000001
6,18,2.54528
6,19,8.04879
6,20,8.630279999999999
6,21,1.50119
6,22,1.1054
6,23,1.4596
6,24,3.6438400000000004
6,25,3.3493999999999997
6,26,3.3101
6,27,6.52018
6,28,5.321960000000001
6,29,3.8450100000000003
6,30,24.154400000000003
6,31,4.2338499999999994
6,32,3.9847099999999998
6,33,1.67847
6,34,4.99226
6,35,6.93208
6,36,1.3399500000000002
6,37,8.32888
6,38,2.9702699999999997
6,39,2.22128
6,40,3.56314
6,41,3.7985599999999997
6,42,1.81945
6,43,5.70293
6,44,1.5226799999999998
6,45,13.909
6,46,2.45243
6,47,1.55376
7,0,21.0791
7,1,2.5755299999999997
7,2,2.38376
7,3,2.4157699999999998
7,4,5.60085
7,5,32.4782
7,6,4.60959
7,7,2.00455
7,8,13.2166
7,9,17.321099999999998
7,10,15.6086
7,11,2.7313099999999997
7,12,7.147
7,13,1.3374
7,14,2.4100200000000003
7,15,24.0244
7,16,3.73872
7,17,5.14133
7,18,4.63168
7,19,3.45744
7,20,15.6086
7,21,18.3934
7,22,5.9313899999999995
7,23,2.48178
7,24,6.860899999999999
7,25,21.274900000000002
7,26,2.66961
7,27,2.46511
7,28,7.5220199999999995
7,29,2.85358
7,30,7.10019
7,31,2.66961
7,32,10.0077
7,33,2.0254499999999998
7,34,8.116389999999999
7,35,13.940100000000001
7,36,1.82757
7,37,2.01183
7,38,1.69614
7,39,8.10375
7,40,6.93208
7,41,7.67281
7,42,3.35676
7,43,1.7768700000000002
7,44,16.2491
7,45,32.5005
7,46,4.2338499999999994
7,47,4.98536
8,0,28.0429
8,1,2.68348
8,2,6.49933
8,3,2.07663
8,4,10.594999999999999
8,5,6.46926
8,6,9.05894
8,7,1.6318
8,8,1.21493
8,9,1.62386
8,10,24.0244
8,11,5.778650000000001
8,12,4.82305
8,13,1.67847
8,14,1.8164
8,15,7.64696
8,16,6.4809
8,17,2.4139
8,18,1.66159
8,19,6.677709999999999
8,20,3.56314
8,21,1.12449
8,22,10.3273
8,23,2.5734600000000003
8,24,4.74649
8,25,18.9655
8,26,18.192500000000003
8,27,1.6608999999999998
8,28,1.50405
8,29,2.26457
8,30,23.2348
8,31,1.66756
8,32,2.32255
8,33,5.31828
8,34,2.18873
8,35,24.9058
8,36,2.5441299999999996
8,37,5.4362
8,38,3.71193
8,39,25.5046
8,40,9.71441
8,41,6.1742799999999995
8,42,14.383799999999999
8,43,1.98969
8,44,5.03766
8,45,4.45998
8,46,16.5445
8,47,11.876299999999999
9,0,5.47498
9,1,1.89197
9,2,5.18677
9,3,1.88112
9,4,31.682399999999998
9,5,3.91007
9,6,10.7872
9,7,7.34185
9,8,2.94699
9,9,3.80476
9,10,12.7797
9,11,6.336220000000001
9,12,1.7773899999999998
9,13,4.9927
9,14,4.06391
9,15,26.227
9,16,5.37425
9,17,1.5750899999999999
9,18,11.9656
9,19,43.0397
9,20,5.47498
9,21,4.48088
9,22,4.39398
9,23,1.6489600000000002
9,24,24.3142
9,25,4.38114
9,26,10.4697
9,27,5.5712399999999995
9,28,2.63604
9,29,4.54655
9,30,6.1849
9,31,2.17444
9,32,6.292739999999999
9,33,3.9393000000000002
9,34,1.55613
9,35,19.975
9,36,9.05894
9,37,1.2663600000000002
9,38,2.03616
9,39,2.2972900000000003
9,40,12.7797
9,41,1.3154899999999998
9,42,5.5003899999999994
9,43,2.0330500000000002
9,44,15.2577
9,45,5.47498
9,46,10.133899999999999
9,47,3.07069
10,0,19.5623
10,1,42.2848
10,2,4.58613
10,3,1.40342
10,4,3.00392
10,5,3.58615
10,6,1.8210799999999998
10,7,7.91309
10,8,2.61437
10,9,1.5772799999999998
10,10,10.6847
10,11,1.67727
10,12,2.8206700000000002
10,13,2.88865
10,14,21.923
10,15,14.5968
10,16,32.010600000000004
10,17,2.84596
10,18,2.7401699999999996
10,19,2.8853
10,20,11.4522
10,21,10.4528
10,22,1.6929800000000002
10,23,1.35464
10,24,1.6967500000000002
10,25,3.91007
10,26,14.5581
10,27,4.718229999999999
10,28,1.9351
10,29,1.75473
10,30,41.027300000000004
10,31,44.8518
10,32,15.084299999999999
10,33,16.4533
10,34,1.65874
10,35,9.80729
10,36,3.34747
10,37,7.12722
10,38,1.69818
10,39,9.90718
10,40,4.45998
10,41,1.68049
10,42,5.22523
10,43,1.3058400000000001
10,44,5.79462
10,45,11.4522
10,46,2.9002
10,47,28.9529
11,0,4.1920399999999995
11,1,6.14073
11,2,29.6502
11,3,17.1444
11,4,12.0892
11,5,6.46926
11,6,5.827
11,7,4.8224
11,8,11.0119
11,9,17.2099
11,10,11.511700000000001
11,11,4.09145
11,12,1.37345
11,13,1.39798
11,14,4.04959
11,15,7.48797
11,16,15.249699999999999
11,17,3.07069
11,18,1.50588
11,19,2.83553
11,20,4.1920399999999995
11,21,2.32039
11,22,2.61354
11,23,2.22655
11,24,2.3867000000000003
11,25,19.975
11,26,1.82757
11,27,4.58613
11,28,13.6351
11,29,4.47224
11,30,6.93208
11,31,2.7389
11,32,5.64386
11,33,1.33143
11,34,3.8735600000000003
11,35,7.366759999999999
11,36,10.4528
11,37,2.42212
11,38,8.24011
11,39,13.218499999999999
11,40,3.58615
11,41,1.3154899999999998
11,42,1.2879
11,43,2.78324
11,44,6.12798
11,45,4.29353
11,46,4.60959
11,47,2.5774500000000002
12,0,39.785
12,1,4.46251
12,2,1.30062
12,3,1.43367
12,4,3.0611099999999998
12,5,36.3074
12,6,2.6329599999999997
12,7,4.7137400000000005
12,8,3.6210199999999997
12,9,3.1161600000000003
12,10,21.274900000000002
12,11,14.196
12,12,1.39503
12,13,2.6843600000000003
12,14,7.4953899999999996
12,15,4.29353
12,16,2.82011
12,17,4.718229999999999
12,18,1.9684599999999999
12,19,6.795310000000001
12,20,11.511700000000001
12,21,9.91469
12,22,1.39676
12,23,2.32298
12,24,2.76179
12,25,23.2348
12,26,8.75952
12,27,1.1101699999999999
12,28,1.9367599999999998
12,29,2.77051
12,30,11.165899999999999
12,31,5.52866
12,32,3.22234
12,33,9.647490000000001
12,34,3.0528999999999997
12,35,23.2348
12,36,14.964699999999999
12,37,6.805070000000001
12,38,14.1805
12,39,5.20141
12,40,2.23799
12,41,9.90104
12,42,3.95732
12,43,2.65463
12,44,33.8577
12,45,17.5015
12,46,1.6837000000000002
12,47,9.99789
13,0,7.366759999999999
13,1,12.163099999999998
13,2,3.2781599999999997
13,3,1.6163800000000001
13,4,1.98195
13,5,40.917300000000004
13,6,4.48088
13,7,20.8898
13,8,2.02784
13,9,1.92664
13,10,40.917300000000004
13,11,9.69718
13,12,4.68462
13,13,4.3142499999999995
13,14,2.49968
13,15,14.5968
13,16,2.48898
13,17,2.39336
13,18,1.85516
13,19,1.6967500000000002
13,20,21.274900000000002
13,21,4.32691
13,22,3.10877
13,23,1.50588
13,24,18.787000000000003
13,25,13.566099999999999
13,26,1.52634
13,27,2.15397
13,28,1.96903
13,29,8.98911
13,30,19.975
13,31,5.778650000000001
13,32,5.18677
13,33,5.967779999999999
13,34,1.5134500000000002
13,35,24.154400000000003
13,36,1.5794700000000002
13,37,9.26413
13,38,1.43476
13,39,35.8598
13,40,32.4782
13,41,38.484
13,42,1.1054
13,43,2.65463
13,44,1.6871
13,45,38.1584
13,46,11.043
13,47,32.5205
14,0,24.154400000000003
14,1,10.4697
14,2,2.00831
14,3,3.7662400000000003
14,4,1.98195
14,5,28.5706
14,6,1.91449
14,7,18.4527
14,8,7.653370000000001
14,9,34.7556
14,10,3.94342
14,11,1.91449
14,12,12.2998
14,13,2.57138
14,14,6.86651
14,15,32.4782
14,16,2.82011
14,17,5.0609399999999996
14,18,1.72783
14,19,13.860800000000001
14,20,6.46926
14,21,5.70098
14,22,2.7927999999999997
14,23,1.37592
14,24,3.8555099999999998
14,25,36.251400000000004
14,26,6.170850000000001
14,27,6.49203
14,28,1.2023000000000001
14,29,2.65959
14,30,13.909
14,31,25.3993
14,32,36.4436
14,33,3.05214
14,34,2.32063
14,35,11.165899999999999
14,36,4.2338499999999994
14,37,1.1375
14,38,2.59259
14,39,1.58098
14,40,41.027300000000004
14,41,1.37393
14,42,6.76722
14,43,2.18721
14,44,4.26053
14,45,5.5980099999999995
14,46,14.5581
14,47,18.995800000000003
15,0,14.5968
15,1,2.38557
15,2,6.05128
15,3,2.65463
15,4,6.41965
15,5,32.4782
15,6,17.775299999999998
15,7,28.243
15,8,13.6351
15,9,7.58134
15,10,32.4782
15,11,15.9994
15,12,25.5075
15,13,5.03795
15,14,34.8991
15,15,19.5623
15,16,2.36286
15,17,18.995800000000003
15,18,1.35464
15,19,6.7836
15,20,9.62052
15,21,8.7754
15,22,2.00831
15,23,2.54154
15,24,3.35242
15,25,6.1849
15,26,1.41165
15,27,5.44857
15,28,1.5069299999999999
15,29,6.795310000000001
15,30,4.1920399999999995
15,31,17.8552
15,32,4.806920000000001
15,33,6.441949999999999
15,34,2.8853
15,35,7.366759999999999
15,36,11.3065
15,37,3.40753
15,38,2.23608
15,39,6.5357199999999995
15,40,36.251400000000004
15,41,4.04963
15,42,2.43358
15,43,2.06381
15,44,25.941399999999998
15,45,45.519000000000005
15,46,1.61333
15,47,2.8347100000000003
16,0,32.4782
16,1,1.93609
16,2,9.40088
16,3,1.6277499999999998
16,4,4.04194
16,5,28.0429
16,6,10.4528
16,7,2.02128
16,8,1.33143
16,9,1.2525600000000001
16,10,9.71441
16,11,1.69574
16,12,3.16423
16,13,1.69505
16,14,2.72477
16,15,41.027300000000004
16,16,9.26264
16,17,11.641900000000001
16,18,2.07369
16,19,2.66179
16,20,10.6847
16,21,3.89167
16,22,2.4611
16,23,2.00607
16,24,7.35826
16,25,5.47498
16,26,2.5066900000000003
16,27,2.5598500000000004
16,28,1.7953
16,29,4.47928
16,30,19.975
16,31,1.42124
16,32,3.3935000000000004
16,33,1.40342
16,34,1.5694100000000002
16,35,5.47498
16,36,11.718599999999999
16,37,20.8898
16,38,2.41065
16,39,2.23569
16,40,3.91007
16,41,2.5338700000000003
16,42,9.26413
16,43,1.6489600000000002
16,44,1.18867
16,45,36.3074
16,46,1.59833
16,47,4.91353
17,0,7.48797
17,1,2.00252
17,2,14.5975
17,3,2.6534400000000002
17,4,3.3252200000000003
17,5,3.80239
17,6,2.14392
17,7,22.6832
17,8,13.2166
17,9,1.9913800000000001
17,10,5.5980099999999995
17,11,1.41165
17,12,2.30934
17,13,5.08578
17,14,27.372
17,15,31.879
17,16,1.91449
17,17,5.66144
17,18,2.15739
17,19,43.0397
17,20,21.0791
17,21,2.45243
17,22,1.64154
17,23,2.60232
17,24,9.11066
17,25,21.274900000000002
17,26,3.2040200000000003
17,27,8.62729
17,28,1.38024
17,29,25.5046
17,30,32.5005
17,31,6.88136
17,32,1.65696
17,33,2.4353
17,34,5.01492
17,35,9.80729
17,36,2.3762399999999997
17,37,1.2640799999999999
17,38,3.98866
17,39,1.6871
17,40,24.154400000000003
