policy,env,source,flux_true,time_allocated
eig,0,0,24.0244,3.0
eig,0,1,3.12204,2.5
eig,0,2,17.2236,3.5
eig,0,3,1.2693200000000002,1.0
eig,0,4,6.87258,3.0
eig,0,5,31.879,3.0
eig,0,6,30.619500000000002,3.5
eig,0,7,10.731900000000001,3.0
eig,0,8,1.65587,1.0
eig,0,9,3.32141,1.5
eig,0,10,4.1920399999999995,3.0
eig,0,11,1.16333,1.5
eig,0,12,1.52467,2.5
eig,0,13,2.15881,1.0
eig,0,14,5.45463,3.0
eig,0,15,4.38114,3.0
eig,0,16,1.44986,2.0
eig,0,17,1.81945,2.5
eig,0,18,15.3468,3.0
eig,0,19,3.14188,2.5
eig,0,20,28.5706,3.0
eig,0,21,3.60401,3.0
eig,0,22,3.39364,3.0
eig,0,23,1.33143,2.0
eig,0,24,1.5639500000000002,1.5
eig,0,25,5.339799999999999,3.0
eig,0,26,6.225099999999999,3.0
eig,0,27,1.6318,2.0
eig,0,28,4.40425,3.0
eig,0,29,2.18386,1.5
eig,0,30,26.5834,3.0
eig,0,31,2.79027,2.5
eig,0,32,1.65696,2.5
eig,0,33,2.95279,2.0
eig,0,34,2.9660699999999998,3.0
eig,0,35,11.677,3.0
eig,0,36,12.8104,3.0
eig,0,37,2.05518,2.0
eig,0,38,1.9180400000000002,1.0
eig,0,39,10.5449,3.0
eig,0,40,8.630279999999999,3.0
eig,0,41,6.4809,3.0
eig,0,42,10.3273,3.0
eig,0,43,1.31786,1.0
eig,0,44,2.96704,3.0
eig,0,45,19.5623,3.0
eig,0,46,2.13791,2.0
eig,0,47,20.8898,3.0
epig,0,0,24.0244,3.0
epig,0,1,3.12204,2.5
epig,0,2,17.2236,3.5
epig,0,3,1.2693200000000002,1.0
epig,0,4,6.87258,3.0
epig,0,5,31.879,3.0
epig,0,6,30.619500000000002,3.5
epig,0,7,10.731900000000001,3.0
epig,0,8,1.65587,1.0
epig,0,9,3.32141,1.5
epig,0,10,4.1920399999999995,3.0
epig,0,11,1.16333,1.5
epig,0,12,1.52467,2.5
epig,0,13,2.15881,1.0
epig,0,14,5.45463,3.0
epig,0,15,4.38114,3.0
epig,0,16,1.44986,2.0
epig,0,17,1.81945,2.5
epig,0,18,15.3468,3.0
epig,0,19,3.14188,2.5
epig,0,20,28.5706,3.0
epig,0,21,3.60401,3.0
epig,0,22,3.39364,3.0
epig,0,23,1.33143,2.0
epig,0,24,1.5639500000000002,1.5
epig,0,25,5.339799999999999,3.0
epig,0,26,6.225099999999999,3.0
epig,0,27,1.6318,2.0
epig,0,28,4.40425,3.0
epig,0,29,2.18386,1.5
epig,0,30,26.5834,3.0
epig,0,31,2.79027,2.5
epig,0,32,1.65696,2.5
epig,0,33,2.95279,2.0
epig,0,34,2.9660699999999998,3.0
epig,0,35,11.677,3.0
epig,0,36,12.8104,3.0
epig,0,37,2.05518,2.0
epig,0,38,1.9180400000000002,1.0
epig,0,39,10.5449,3.0
epig,0,40,8.630279999999999,3.0
epig,0,41,6.4809,3.0
epig,0,42,10.3273,3.0
epig,0,43,1.31786,1.0
epig,0,44,2.96704,3.0
epig,0,45,19.5623,3.0
epig,0,46,2.13791,2.0
epig,0,47,20.8898,3.0
maxent,0,0,24.0244,0.5
maxent,0,1,3.12204,0.0
maxent,0,2,17.2236,0.0
maxent,0,3,1.2693200000000002,0.0
maxent,0,4,6.87258,0.0
maxent,0,5,31.879,112.0
maxent,0,6,30.619500000000002,0.0
maxent,0,7,10.731900000000001,0.0
maxent,0,8,1.65587,0.0
maxent,0,9,3.32141,0.0
maxent,0,10,4.1920399999999995,0.5
maxent,0,11,1.16333,0.0
maxent,0,12,1.52467,0.0
maxent,0,13,2.15881,0.0
maxent,0,14,5.45463,0.0
maxent,0,15,4.38114,0.5
maxent,0,16,1.44986,0.0
maxent,0,17,1.81945,0.0
maxent,0,18,15.3468,0.0
maxent,0,19,3.14188,0.0
maxent,0,20,28.5706,4.0
maxent,0,21,3.60401,0.0
maxent,0,22,3.39364,0.0
maxent,0,23,1.33143,0.0
maxent,0,24,1.5639500000000002,0.0
maxent,0,25,5.339799999999999,0.5
maxent,0,26,6.225099999999999,0.0
maxent,0,27,1.6318,0.0
maxent,0,28,4.40425,0.0
maxent,0,29,2.18386,0.0
maxent,0,30,26.5834,0.5
maxent,0,31,2.79027,0.0
maxent,0,32,1.65696,0.0
maxent,0,33,2.95279,0.0
maxent,0,34,2.9660699999999998,0.0
maxent,0,35,11.677,0.5
maxent,0,36,12.8104,0.0
maxent,0,37,2.05518,0.0
maxent,0,38,1.9180400000000002,0.0
maxent,0,39,10.5449,0.0
maxent,0,40,8.630279999999999,0.5
maxent,0,41,6.4809,0.0
maxent,0,42,10.3273,0.0
maxent,0,43,1.31786,0.0
maxent,0,44,2.96704,0.0
maxent,0,45,19.5623,0.5
maxent,0,46,2.13791,0.0
maxent,0,47,20.8898,0.0
d-optimality,0,0,24.0244,3.0
d-optimality,0,1,3.12204,2.5
d-optimality,0,2,17.2236,3.0
