policy,env,spent,rounds,decide_seconds,nlpd,flux_dex,topm_regret
eig,0,15.0,30,1.7498777550063096,3.816725392984545,0.3050497607359382,0.04052818975022143
eig,0,30.0,60,2.0543835619464517,3.6157667492107493,0.23383208397407396,0.027823063255758812
eig,0,60.0,120,2.641735688986955,3.4517207228517996,0.18668104458997575,0.033869134388013894
eig,0,90.0,180,3.195300509018125,3.3436988147753723,0.15634849647220686,0.0
eig,0,120.0,240,3.754328326904215,3.267376470336251,0.13484523316153063,0.0
epig,0,15.0,30,8.882008054031758,3.816725392984545,0.3050497607359382,0.04052818975022143
epig,0,30.0,60,12.016947254043771,3.6157667492107493,0.23383208397407396,0.027823063255758812
epig,0,60.0,120,17.79006933706114,3.4517207228517996,0.18668104458997575,0.033869134388013894
epig,0,90.0,180,23.67191771310172,3.3436988147753723,0.15634849647220686,0.0
epig,0,120.0,240,29.127917348931078,3.267376470336251,0.13484523316153063,0.0
maxent,0,15.0,30,1.4368222279881593,4.072129470513687,0.4151372988176368,0.24320084112271423
maxent,0,30.0,60,1.6734714129997883,4.071356202248089,0.41513560692790263,0.24320084112271423
maxent,0,60.0,120,2.1114732629503123,4.07104854947987,0.4151433117121688,0.24320084112271423
maxent,0,90.0,180,2.5736507148249075,4.07184203915559,0.4151330380309998,0.24320084112271423
maxent,0,120.0,240,3.008447451982647,4.071918150935713,0.4151330101617327,0.24320084112271423
d-optimality,0,15.0,30,0.04700784894521348,3.889044341903927,0.29763144326948177,0.2814616914953705
d-optimality,0,30.0,60,0.0611967449367512,3.573519734564099,0.21396677422724608,0.022137659604138542
d-optimality,0,60.0,120,0.0875560240529012,3.454969948472159,0.18305777217621758,0.033869134388013894
d-optimality,0,90.0,180,0.11722812909283675,3.3372554656445232,0.1545220451819949,0.0
d-optimality,0,120.0,240,0.1474138120538555,3.2585173513121752,0.13405349189000962,0.0
neyman,0,15.0,30,0.12056510298862122,3.816725392984545,0.3050497607359382,0.04052818975022143
neyman,0,30.0,60,0.2271583880065009,3.57633402805522,0.2149849356181875,0.022137659604138542
neyman,0,60.0,120,0.4464354671072215,3.449578984079729,0.18973671192506328,0.0
neyman,0,90.0,180,0.6742430801095907,3.3727433893811978,0.1667934010751648,0.0
neyman,0,120.0,240,0.9092920350958593,3.3556474261572746,0.15870111617612023,0.0
predictive-variance,0,15.0,1,0.02516199799720198,4.225587845087987,0.44354203099558226,0.31454427983382205
predictive-variance,0,30.0,2,0.026016508985776454,4.190554477349848,0.44259796120437156,0.31454427983382205
predictive-variance,0,60.0,3,0.02690220097429119,4.1406407913372325,0.4316547377304684,0.2922810136411564
predictive-variance,0,90.0,4,0.027760976954596117,4.088016604786015,0.4209792758267791,0.21612870862983485
predictive-variance,0,120.0,44,0.047138187946984544,3.5875136364134725,0.23922543283447797,0.0
epistemic,0,15.0,1,0.02488466299837455,4.225587845087987,0.44354203099558226,0.31454427983382205
epistemic,0,30.0,2,0.025750745000550523,4.190554477349848,0.44259796120437156,0.31454427983382205
epistemic,0,60.0,3,0.02664424999966286,4.1406407913372325,0.4316547377304684,0.2922810136411564
epistemic,0,90.0,4,0.02753207500791177,4.088016604786015,0.4209792758267791,0.21612870862983485
epistemic,0,120.0,44,0.046624110982520506,3.5875136364134725,0.23922543283447797,0.0
thompson,0,15.0,1,0.014379514992469922,4.221607146213108,0.442740714185641,0.31454427983382205
thompson,0,30.0,2,0.02927724100300111,4.178236581177079,0.44169365867648286,0.31454427983382205
thompson,0,60.0,3,0.04273400301462971,4.150773092564278,0.44116648032740785,0.31454427983382205
thompson,0,90.0,4,0.05641325702890754,4.119720423701018,0.44102321778918635,0.31454427983382205
thompson,0,120.0,44,0.6243778299540281,3.6976681924509087,0.3290186743531826,0.04994266440467792
uniform,0,15.0,3,1.0742980521172285e-05,4.19330881958769,0.4350736752001145,0.2867212165780631
uniform,0,30.0,6,1.7055950593203306e-05,4.122983324751056,0.4296238622934173,0.2867212165780631
uniform,0,60.0,12,2.499297261238098e-05,3.927190783366701,0.38422842987074174,0.15415479908463692
uniform,0,90.0,18,3.1579023925587535e-05,3.79776086756195,0.3323932749894955,0.11755703211294954
uniform,0,120.0,24,3.808006295002997e-05,3.639951658988594,0.3007369538264692,0.11755703211294954
random,0,15.0,4,3.76369571313262e-05,4.127571666503445,0.41730666247988607,0.1877352991633918
random,0,30.0,4,3.76369571313262e-05,4.127571666503445,0.41730666247988607,0.1877352991633918
random,0,60.0,6,5.6436925660818815e-05,4.092334024312913,0.4088536511477484,0.1877352991633918
random,0,90.0,9,7.517394260503352e-05,4.021384492578964,0.3786091694279996,0.1877352991633918
random,0,120.0,14,0.00010269595077261329,3.958056866851582,0.35686158544750884,0.15991223590763298
eig@gamma-poisson,0,15.0,30,0.07918733797851019,3.9134738685672534,0.31199065578086194,0.04052818975022143
eig@gamma-poisson,0,30.0,60,0.105285802972503,3.7564591713505773,0.24672307372528793,0.06835125300598024
eig@gamma-poisson,0,60.0,120,0.15856230902136303,3.550454557449743,0.20477107824950683,0.033869134388013894
eig@gamma-poisson,0,90.0,180,0.20651500995154493,3.4773856176831384,0.1928549544279964,0.0
eig@gamma-poisson,0,120.0,240,0.25453776691574603,3.3863543149877677,0.18626106648232316,0.0
eig@lognormal-poisson,0,15.0,30,31.008421113918303,3.856034509380738,0.3029489160466886,0.04052818975022143
eig@lognormal-poisson,0,30.0,60,31.555527757911477,3.680102619054828,0.23840637367268133,0.027823063255758812
eig@lognormal-poisson,0,60.0,120,32.44215124673792,3.489413544350537,0.18952545481710303,0.033869134388013894
eig@lognormal-poisson,0,90.0,180,33.271884689776925,3.3643685434768567,0.1592315956695486,0.0
eig@lognormal-poisson,0,120.0,240,34.02248310172581,3.3108212692824837,0.14741423375768564,0.0
eig,1,15.0,30,1.7306524460145738,4.251804848619431,0.32526790153404656,0.17112841580826765
eig,1,30.0,60,2.040788711135974,3.9979143190396456,0.26703385281768316,0.07395707252068773
eig,1,60.0,120,2.6331667172780726,3.667740762258427,0.17388114923786926,0.0
eig,1,90.0,180,3.199850655422779,3.6423051410491767,0.15900333670092912,0.0
eig,1,120.0,240,3.752372350427322,3.541464396405764,0.1420592221903089,0.0
epig,1,15.0,30,8.917898394051008,4.251804848619431,0.32526790153404656,0.17112841580826765
epig,1,30.0,60,12.088317830057349,3.9979143190396456,0.26703385281768316,0.07395707252068773
epig,1,60.0,120,18.41929120910936,3.6707068809617724,0.17630691427132872,0.0
epig,1,90.0,180,25.127662455197424,3.653801522411198,0.16102646135270104,0.0
