model,cell,dwell,exposure,eig_exact,eig_corrected,sem,z
gig-poisson,0,5.0,0.08333333333333333,1.2186906814415472,1.2332976309427146,0.008171217454258787,-1.7876099348640289
gig-poisson,0,160.0,2.6666666666666665,2.8745298973727627,2.596039360777608,0.27970536668512347,0.9956567508719402
gig-poisson,48,5.0,0.08333333333333333,1.2186906814415472,1.2172111408444832,0.013441635239264301,0.11007147350213248
gig-poisson,48,160.0,2.6666666666666665,2.8745298973727627,2.9090844711377315,0.018499445846188293,-1.867870748792652
gamma-poisson,0,5.0,0.08333333333333333,1.2766660443801363,1.258567615661159,0.006339910438873092,2.854682080050699
gamma-poisson,0,160.0,2.6666666666666665,2.9684240850162174,2.9495692575175916,0.010365829319083013,1.8189405708151978
gamma-poisson,48,5.0,0.08333333333333333,1.2766660443801363,1.2906497968388202,0.011483496300161353,-1.2177260385835105
gamma-poisson,48,160.0,2.6666666666666665,2.9684240850162174,2.9716998731741797,0.012792904185814623,-0.2560629009943431
lognormal-poisson,0,5.0,0.08333333333333333,1.2168470756737069,1.2488570018846115,0.03251065544526401,-0.9845979963337724
lognormal-poisson,0,160.0,2.6666666666666665,2.8696170740051796,3.0090749399948664,0.1369958606846498,-1.0179713846296734
lognormal-poisson,48,5.0,0.08333333333333333,1.2168470756737069,1.2017469410719182,0.012988307016913215,1.16259452306798
lognormal-poisson,48,160.0,2.6666666666666665,2.8696170740051796,2.875226593927834,0.06535390343516811,-0.08583297443310595
